epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.811,4.76771,7.33253,3.99176,0.55711,0.11145,0.18903,0.06517,2.77148,2.36148,2.13365,0.07012,0.00332,0.00332
2,231.099,2.56636,1.78038,1.67766,0.55701,0.37131,0.37919,0.16234,2.18264,1.54389,1.51141,0.0401012,0.00663451,0.00663451
3,341.701,2.18389,1.47616,1.37863,0.74964,0.40209,0.4671,0.2148,2.04476,1.30776,1.35941,0.0100635,0.00993017,0.00993017
4,452.854,1.90209,1.25309,1.20624,0.7981,0.46244,0.5553,0.31262,1.58359,1.1064,1.12277,0.00991514,0.00991514,0.00991514
5,571.518,1.71807,1.11291,1.11847,0.80056,0.50123,0.59874,0.33835,1.52424,1.0543,1.10118,0.00988686,0.00988686,0.00988686
6,683.444,1.58911,1.00763,1.07265,0.8305,0.55111,0.64257,0.39047,1.36238,0.95249,1.05298,0.00985857,0.00985857,0.00985857
7,795.675,1.48154,0.94362,1.04313,0.83255,0.55973,0.6649,0.40178,1.35415,0.89752,1.04214,0.00983029,0.00983029,0.00983029
8,908.955,1.43392,0.90002,1.01832,0.83131,0.57328,0.68284,0.42721,1.24748,0.84563,1.00627,0.009802,0.009802,0.009802
9,1020.93,1.37278,0.87742,1.00481,0.86084,0.59544,0.7051,0.45281,1.18889,0.81912,0.99191,0.00977371,0.00977371,0.00977371
10,1132.17,1.34446,0.8578,1.00143,0.83649,0.61761,0.7307,0.46985,1.17256,0.78437,0.97937,0.00974543,0.00974543,0.00974543
11,1242.82,1.30198,0.82399,0.98359,0.85037,0.61761,0.73344,0.4634,1.15228,0.77073,0.97814,0.00971714,0.00971714,0.00971714
12,1353.2,1.26391,0.7995,0.97915,0.81006,0.64286,0.74157,0.47459,1.17386,0.75953,0.98715,0.00968886,0.00968886,0.00968886
13,1463.98,1.24794,0.79391,0.97358,0.82666,0.66502,0.75028,0.47792,1.14535,0.75404,0.97806,0.00966057,0.00966057,0.00966057
14,1577.14,1.23054,0.76897,0.96239,0.83138,0.69335,0.78001,0.50332,1.08473,0.71695,0.95166,0.00963229,0.00963229,0.00963229
15,1690.86,1.18959,0.75036,0.95656,0.84532,0.66995,0.77461,0.50131,1.11592,0.70489,0.96084,0.009604,0.009604,0.009604
16,1801.54,1.17787,0.74435,0.95791,0.80745,0.68288,0.77218,0.51137,1.05667,0.68601,0.94648,0.00957571,0.00957571,0.00957571
17,1912.01,1.18679,0.73704,0.95403,0.85288,0.68103,0.7883,0.51259,1.05612,0.68179,0.95033,0.00954743,0.00954743,0.00954743
18,2024.04,1.1637,0.71952,0.94905,0.86186,0.62746,0.7575,0.50202,1.08391,0.6975,0.94992,0.00951914,0.00951914,0.00951914
19,2137.94,1.15061,0.7077,0.94532,0.84098,0.65517,0.76035,0.51611,1.0239,0.65853,0.94311,0.00949086,0.00949086,0.00949086
20,2248.91,1.13897,0.70418,0.94322,0.8799,0.69024,0.80621,0.54415,1.00928,0.64844,0.93604,0.00946257,0.00946257,0.00946257
21,2362.16,1.13068,0.70391,0.94533,0.84181,0.71434,0.8119,0.54468,1.02097,0.62925,0.93056,0.00943429,0.00943429,0.00943429
22,2472.84,1.12403,0.69712,0.94336,0.86506,0.71451,0.81505,0.54551,1.00843,0.62914,0.93183,0.009406,0.009406,0.009406
23,2586.9,1.12241,0.69041,0.93757,0.8746,0.68286,0.80251,0.52132,1.06073,0.62546,0.93947,0.00937771,0.00937771,0.00937771
24,2699.7,1.10445,0.6835,0.93514,0.8602,0.72366,0.8192,0.54588,1.01497,0.62031,0.93191,0.00934943,0.00934943,0.00934943
25,2810.5,1.11045,0.67334,0.93606,0.86802,0.72352,0.83099,0.54174,1.03045,0.62595,0.93933,0.00932114,0.00932114,0.00932114
26,2922.29,1.11362,0.68607,0.93541,0.86098,0.7093,0.81879,0.53773,1.03177,0.61347,0.9449,0.00929286,0.00929286,0.00929286
27,3034.24,1.09047,0.66774,0.92952,0.87879,0.67426,0.80772,0.5456,1.02039,0.60589,0.93763,0.00926457,0.00926457,0.00926457
28,3149.94,1.08796,0.66077,0.92982,0.8663,0.73413,0.84167,0.55857,0.99644,0.60365,0.92507,0.00923629,0.00923629,0.00923629
29,3260.99,1.08216,0.6596,0.92726,0.87474,0.73645,0.84165,0.5559,1.0012,0.59817,0.9187,0.009208,0.009208,0.009208
30,3372.79,1.06454,0.64828,0.92364,0.8745,0.74661,0.85157,0.57213,0.99375,0.61634,0.92836,0.00917971,0.00917971,0.00917971
31,3484.26,1.06806,0.64809,0.92695,0.89177,0.75601,0.85178,0.57235,0.97597,0.57141,0.92095,0.00915143,0.00915143,0.00915143
32,3597.24,1.04968,0.64491,0.9233,0.86832,0.75062,0.84264,0.56857,0.9683,0.57713,0.92103,0.00912314,0.00912314,0.00912314
33,3709.51,1.05888,0.64547,0.92516,0.8879,0.71121,0.84074,0.56346,0.97319,0.58941,0.92893,0.00909486,0.00909486,0.00909486
34,3826.67,1.04139,0.63784,0.92462,0.86273,0.73918,0.84415,0.54111,1.02433,0.59388,0.93209,0.00906657,0.00906657,0.00906657
35,3939.64,1.05284,0.63962,0.91926,0.88098,0.72923,0.84355,0.55335,1.01151,0.58544,0.91752,0.00903829,0.00903829,0.00903829
36,4052.63,1.05714,0.63309,0.92355,0.90974,0.73707,0.85656,0.58165,0.95456,0.57036,0.91986,0.00901,0.00901,0.00901
37,4172.23,1.03094,0.63321,0.91761,0.88105,0.74446,0.84453,0.57223,0.97853,0.57613,0.92093,0.00898171,0.00898171,0.00898171
38,4283.23,1.03755,0.62058,0.91369,0.89726,0.75289,0.86413,0.58592,0.91699,0.55412,0.90881,0.00895343,0.00895343,0.00895343
39,4395.87,1.0358,0.62208,0.91733,0.88033,0.75246,0.85067,0.57617,0.96297,0.55627,0.92423,0.00892514,0.00892514,0.00892514
40,4506.59,1.02768,0.61749,0.91068,0.89639,0.72449,0.84119,0.59768,0.91551,0.54083,0.91264,0.00889686,0.00889686,0.00889686
41,4620.15,1.02915,0.61481,0.9194,0.87786,0.79064,0.86701,0.59678,0.91679,0.53464,0.90645,0.00886857,0.00886857,0.00886857
42,4732.07,1.0259,0.61401,0.91379,0.88501,0.75493,0.86138,0.58346,0.94338,0.55201,0.91536,0.00884029,0.00884029,0.00884029
43,4842.93,1.01221,0.61027,0.91511,0.88614,0.77956,0.86711,0.59175,0.92572,0.53801,0.91629,0.008812,0.008812,0.008812
44,4953.36,1.01398,0.60968,0.91386,0.87729,0.77463,0.86536,0.58364,0.95013,0.54778,0.91259,0.00878371,0.00878371,0.00878371
45,5065.32,1.00724,0.60851,0.91345,0.89297,0.7734,0.86602,0.58994,0.92748,0.54035,0.91511,0.00875543,0.00875543,0.00875543
46,5175.77,1.00642,0.60155,0.91396,0.89454,0.76601,0.86193,0.58202,0.97189,0.54343,0.92209,0.00872714,0.00872714,0.00872714
47,5286.78,0.99348,0.59654,0.90864,0.89804,0.7864,0.87492,0.59967,0.92181,0.52444,0.91389,0.00869886,0.00869886,0.00869886
48,5398.76,0.99312,0.59438,0.90583,0.90054,0.78057,0.87101,0.60187,0.92228,0.52925,0.90917,0.00867057,0.00867057,0.00867057
49,5510.46,1.00648,0.60247,0.91172,0.9059,0.75289,0.87056,0.59778,0.93571,0.52677,0.91094,0.00864229,0.00864229,0.00864229
50,5623.21,0.9998,0.59079,0.90751,0.90741,0.76108,0.8743,0.6042,0.90542,0.52378,0.90815,0.008614,0.008614,0.008614
51,5736.36,0.99244,0.58984,0.91104,0.89956,0.72845,0.84937,0.59457,0.90356,0.52709,0.90832,0.00858571,0.00858571,0.00858571
52,5846.92,0.98927,0.58694,0.90634,0.89697,0.75369,0.86786,0.58522,0.9517,0.54144,0.91706,0.00855743,0.00855743,0.00855743
53,5960.16,1.00227,0.59424,0.91247,0.89347,0.79535,0.88509,0.60984,0.90487,0.51591,0.90678,0.00852914,0.00852914,0.00852914
54,6076.59,0.99695,0.59155,0.90247,0.90285,0.78633,0.88035,0.59985,0.95128,0.52549,0.91431,0.00850086,0.00850086,0.00850086
55,6189.73,0.97812,0.58149,0.90627,0.88558,0.79741,0.87967,0.60919,0.91752,0.51524,0.90585,0.00847257,0.00847257,0.00847257
56,6301.54,0.98792,0.58014,0.90882,0.91071,0.76724,0.87793,0.60644,0.91954,0.52031,0.91033,0.00844429,0.00844429,0.00844429
57,6418.9,0.99461,0.58702,0.9097,0.89864,0.79249,0.88699,0.61163,0.90525,0.51389,0.90424,0.008416,0.008416,0.008416
58,6532.01,0.99455,0.5811,0.9068,0.89695,0.80172,0.89346,0.61355,0.90584,0.50807,0.9123,0.00838771,0.00838771,0.00838771
59,6646.14,0.98749,0.58708,0.90521,0.89655,0.8005,0.88782,0.61091,0.90798,0.50613,0.90636,0.00835943,0.00835943,0.00835943
60,6757.26,0.97536,0.57826,0.90579,0.90257,0.79856,0.88761,0.61945,0.89813,0.49573,0.90575,0.00833114,0.00833114,0.00833114
61,6868.83,0.97538,0.57068,0.90694,0.90132,0.79299,0.88623,0.61084,0.93293,0.50809,0.90704,0.00830286,0.00830286,0.00830286
62,6982.25,0.97783,0.57602,0.90121,0.89163,0.81466,0.88799,0.614,0.91042,0.50415,0.90284,0.00827457,0.00827457,0.00827457
63,7093.39,0.98642,0.58604,0.90506,0.90172,0.78633,0.88375,0.61913,0.89485,0.50408,0.90033,0.00824629,0.00824629,0.00824629
64,7205.59,0.96408,0.56585,0.89741,0.91243,0.80837,0.89232,0.61475,0.91592,0.49567,0.90745,0.008218,0.008218,0.008218
65,7317.86,0.9661,0.5648,0.90066,0.90148,0.79495,0.88237,0.61344,0.92155,0.49444,0.90612,0.00818971,0.00818971,0.00818971
66,7434.7,0.96479,0.56474,0.90196,0.90567,0.79372,0.89014,0.62093,0.90345,0.50281,0.90283,0.00816143,0.00816143,0.00816143
67,7548.37,0.96606,0.57179,0.90326,0.9199,0.79907,0.8924,0.61998,0.89019,0.49612,0.90715,0.00813314,0.00813314,0.00813314
68,7659.78,0.97047,0.57719,0.90634,0.90525,0.80973,0.88841,0.6184,0.9067,0.4994,0.90643,0.00810486,0.00810486,0.00810486
69,7779.76,0.97139,0.573,0.90121,0.91006,0.80373,0.89124,0.6181,0.90429,0.49552,0.90231,0.00807657,0.00807657,0.00807657
70,7892.45,0.95704,0.55865,0.90317,0.90039,0.81034,0.8924,0.62252,0.88917,0.49128,0.90488,0.00804829,0.00804829,0.00804829
71,8005.04,0.96184,0.56437,0.89836,0.90088,0.80542,0.89071,0.61809,0.8974,0.49848,0.89971,0.00802,0.00802,0.00802
72,8115.5,0.95459,0.55803,0.89773,0.90603,0.81158,0.89923,0.63045,0.87469,0.48612,0.90101,0.00799171,0.00799171,0.00799171
73,8228.55,0.96846,0.57069,0.90377,0.90015,0.81527,0.89274,0.62686,0.88275,0.4876,0.89867,0.00796343,0.00796343,0.00796343
74,8342.43,0.95327,0.5629,0.90097,0.90247,0.80911,0.90031,0.62825,0.89018,0.48795,0.90345,0.00793514,0.00793514,0.00793514
75,8453.43,0.93714,0.54867,0.89877,0.89925,0.80665,0.89171,0.62483,0.91395,0.49072,0.90813,0.00790686,0.00790686,0.00790686
76,8567.24,0.95479,0.55687,0.89916,0.90376,0.80542,0.89882,0.62787,0.89154,0.48307,0.90283,0.00787857,0.00787857,0.00787857
77,8677.44,0.94265,0.55013,0.89831,0.89188,0.82389,0.89794,0.63252,0.87734,0.4812,0.89834,0.00785029,0.00785029,0.00785029
78,8789.85,0.94528,0.5521,0.90093,0.89861,0.81219,0.89663,0.62422,0.89221,0.4806,0.90429,0.007822,0.007822,0.007822
79,8901.86,0.93953,0.55157,0.89189,0.90331,0.81691,0.90164,0.63641,0.87104,0.47924,0.89666,0.00779371,0.00779371,0.00779371
80,9020.21,0.95052,0.55197,0.89599,0.90484,0.80419,0.89494,0.62995,0.8812,0.47473,0.89634,0.00776543,0.00776543,0.00776543
81,9133.76,0.93927,0.55102,0.89739,0.89109,0.82623,0.90403,0.6338,0.87514,0.47335,0.89652,0.00773714,0.00773714,0.00773714
82,9245.79,0.94783,0.56117,0.89857,0.90796,0.82002,0.90349,0.63157,0.87889,0.47728,0.89966,0.00770886,0.00770886,0.00770886
83,9356.02,0.92614,0.53485,0.88978,0.92031,0.81066,0.90578,0.64005,0.87145,0.47346,0.89811,0.00768057,0.00768057,0.00768057
84,9468.83,0.94929,0.55485,0.89733,0.89692,0.82697,0.90696,0.63043,0.88856,0.47797,0.89884,0.00765229,0.00765229,0.00765229
85,9581.29,0.93788,0.5452,0.89385,0.90264,0.82212,0.90647,0.63857,0.86137,0.46971,0.89363,0.007624,0.007624,0.007624
86,9693.78,0.93615,0.54608,0.89661,0.91474,0.80419,0.90143,0.63385,0.8752,0.47292,0.89591,0.00759571,0.00759571,0.00759571
87,9804.63,0.93903,0.53854,0.8941,0.91249,0.80603,0.89899,0.6352,0.86583,0.46993,0.89493,0.00756743,0.00756743,0.00756743
88,9917.95,0.94649,0.54526,0.89582,0.91422,0.80719,0.90098,0.63779,0.86532,0.46598,0.89652,0.00753914,0.00753914,0.00753914
89,10036.3,0.93477,0.54192,0.89359,0.90003,0.82052,0.9026,0.63169,0.88092,0.46738,0.89837,0.00751086,0.00751086,0.00751086
90,10148.9,0.94755,0.54393,0.89886,0.90469,0.81589,0.90775,0.6368,0.87067,0.46627,0.89681,0.00748257,0.00748257,0.00748257
91,10260.7,0.92021,0.53597,0.88699,0.9079,0.80665,0.90384,0.63143,0.87599,0.46489,0.90119,0.00745429,0.00745429,0.00745429
92,10377.3,0.93391,0.5398,0.89464,0.8988,0.83127,0.90529,0.64547,0.85226,0.46136,0.89266,0.007426,0.007426,0.007426
93,10488.4,0.92091,0.5358,0.89206,0.91771,0.81158,0.90232,0.64053,0.856,0.45836,0.89663,0.00739771,0.00739771,0.00739771
94,10600.7,0.94035,0.54345,0.89651,0.92361,0.82081,0.9106,0.64169,0.85448,0.46338,0.89435,0.00736943,0.00736943,0.00736943
95,10711,0.9284,0.5461,0.89498,0.90387,0.81636,0.90569,0.64043,0.86636,0.46462,0.89499,0.00734114,0.00734114,0.00734114
96,10822,0.91733,0.53354,0.89122,0.90912,0.82143,0.90457,0.63623,0.85796,0.46098,0.89521,0.00731286,0.00731286,0.00731286
97,10935.7,0.92199,0.52933,0.88964,0.91792,0.8202,0.90782,0.64177,0.8561,0.46213,0.89706,0.00728457,0.00728457,0.00728457
98,11049.9,0.9284,0.53468,0.89142,0.89004,0.82512,0.90486,0.63812,0.88311,0.46947,0.90044,0.00725629,0.00725629,0.00725629
99,11160.5,0.93135,0.53156,0.89378,0.89968,0.82278,0.9068,0.64342,0.85849,0.45398,0.89407,0.007228,0.007228,0.007228
100,11272.6,0.9298,0.53582,0.89664,0.90841,0.81773,0.90279,0.63901,0.85421,0.45929,0.89538,0.00719971,0.00719971,0.00719971
101,11392.6,0.93002,0.53422,0.89287,0.90914,0.83005,0.90712,0.63727,0.87379,0.45978,0.89958,0.00717143,0.00717143,0.00717143
102,11505.7,0.92462,0.53147,0.89427,0.90991,0.81773,0.90518,0.64143,0.85519,0.45697,0.89378,0.00714314,0.00714314,0.00714314
103,11617.6,0.90634,0.52917,0.89164,0.89498,0.82882,0.90615,0.63978,0.85499,0.45812,0.89573,0.00711486,0.00711486,0.00711486
104,11728.2,0.93729,0.53257,0.8878,0.90225,0.82697,0.90353,0.64494,0.85995,0.45336,0.89741,0.00708657,0.00708657,0.00708657
105,11840.4,0.91694,0.52207,0.88851,0.90522,0.82451,0.90896,0.64636,0.85115,0.45228,0.89317,0.00705829,0.00705829,0.00705829
106,11953,0.91345,0.52424,0.89004,0.89417,0.83559,0.9085,0.64711,0.84899,0.45337,0.892,0.00703,0.00703,0.00703
107,12065.9,0.92213,0.52637,0.88987,0.90434,0.82663,0.90931,0.64792,0.85871,0.45345,0.89329,0.00700171,0.00700171,0.00700171
108,12179.1,0.91182,0.52662,0.88778,0.91357,0.82943,0.90804,0.64821,0.85315,0.44942,0.89189,0.00697343,0.00697343,0.00697343
109,12290.5,0.90995,0.52534,0.88756,0.909,0.83436,0.90929,0.64304,0.8622,0.45471,0.89584,0.00694514,0.00694514,0.00694514
110,12403,0.91287,0.52059,0.88934,0.90792,0.83181,0.90948,0.64669,0.85785,0.45006,0.89521,0.00691686,0.00691686,0.00691686
111,12522.7,0.90193,0.51774,0.89036,0.90268,0.8319,0.90133,0.64664,0.85004,0.44357,0.89342,0.00688857,0.00688857,0.00688857
112,12632.8,0.91415,0.51924,0.88583,0.90598,0.82882,0.90522,0.65345,0.83523,0.4437,0.89043,0.00686029,0.00686029,0.00686029
113,12745.6,0.9002,0.51416,0.88334,0.91361,0.81397,0.90241,0.65138,0.83726,0.44744,0.88862,0.006832,0.006832,0.006832
114,12857.1,0.90601,0.5167,0.88486,0.9161,0.82266,0.90831,0.64992,0.83739,0.44509,0.89023,0.00680371,0.00680371,0.00680371
115,12970.3,0.90522,0.51238,0.88571,0.90762,0.81466,0.90187,0.6501,0.84181,0.44339,0.89163,0.00677543,0.00677543,0.00677543
116,13083.4,0.90853,0.51574,0.88798,0.91159,0.82543,0.90119,0.65307,0.83954,0.44045,0.89037,0.00674714,0.00674714,0.00674714
117,13196.4,0.90736,0.52357,0.88775,0.91437,0.82852,0.90517,0.65487,0.85384,0.44554,0.89344,0.00671886,0.00671886,0.00671886
118,13310,0.9075,0.5186,0.88815,0.90462,0.84175,0.91066,0.65458,0.83808,0.44363,0.89,0.00669057,0.00669057,0.00669057
119,13422.5,0.9088,0.51699,0.88629,0.9021,0.83979,0.90865,0.65318,0.83869,0.43929,0.8921,0.00666229,0.00666229,0.00666229
120,13533,0.90435,0.51653,0.88658,0.90499,0.84421,0.91227,0.65493,0.83813,0.43749,0.88865,0.006634,0.006634,0.006634
121,13645.8,0.89563,0.50881,0.88503,0.89974,0.83805,0.90997,0.6564,0.83446,0.43874,0.8894,0.00660571,0.00660571,0.00660571
122,13758.3,0.8982,0.51563,0.88743,0.90868,0.82697,0.90834,0.65195,0.8437,0.43936,0.89133,0.00657743,0.00657743,0.00657743
123,13875.7,0.90246,0.51702,0.88411,0.89534,0.83226,0.90841,0.65254,0.84301,0.43646,0.89183,0.00654914,0.00654914,0.00654914
124,13988.5,0.896,0.50699,0.88599,0.90167,0.82999,0.91046,0.65281,0.84622,0.43718,0.89446,0.00652086,0.00652086,0.00652086
125,14100.1,0.89659,0.51137,0.88435,0.89313,0.83877,0.90898,0.65521,0.83806,0.43564,0.89247,0.00649257,0.00649257,0.00649257
126,14211,0.88742,0.50918,0.88271,0.91243,0.82759,0.91403,0.6576,0.83877,0.43512,0.88934,0.00646429,0.00646429,0.00646429
127,14322.3,0.9,0.50714,0.88277,0.89862,0.84052,0.912,0.65587,0.84011,0.43622,0.89074,0.006436,0.006436,0.006436
128,14435.6,0.89748,0.50826,0.88628,0.88748,0.84997,0.91268,0.65932,0.82968,0.43517,0.88875,0.00640771,0.00640771,0.00640771
129,14547.3,0.89592,0.50881,0.88585,0.91696,0.81589,0.9112,0.65898,0.83339,0.43548,0.88921,0.00637943,0.00637943,0.00637943
130,14659.5,0.89862,0.51181,0.88363,0.90598,0.82081,0.9086,0.65731,0.84241,0.43878,0.89026,0.00635114,0.00635114,0.00635114
131,14771.7,0.88228,0.50081,0.88115,0.90258,0.8319,0.90978,0.65643,0.84253,0.43487,0.88881,0.00632286,0.00632286,0.00632286
132,14888.1,0.89125,0.50493,0.87959,0.90456,0.82875,0.9114,0.66119,0.8301,0.43025,0.88799,0.00629457,0.00629457,0.00629457
133,15002.1,0.89148,0.50247,0.88189,0.89316,0.84937,0.91596,0.66498,0.82876,0.4311,0.8873,0.00626629,0.00626629,0.00626629
134,15114.7,0.8973,0.50766,0.88423,0.90886,0.82892,0.91314,0.66174,0.83355,0.43215,0.88887,0.006238,0.006238,0.006238
135,15225.7,0.89363,0.50801,0.88449,0.89773,0.83067,0.91112,0.66012,0.83268,0.4333,0.8901,0.00620971,0.00620971,0.00620971
136,15339,0.88697,0.50732,0.88211,0.9024,0.83067,0.91139,0.6606,0.83159,0.43212,0.8896,0.00618143,0.00618143,0.00618143
137,15451,0.87263,0.50206,0.87849,0.89917,0.83559,0.91128,0.66395,0.82223,0.42831,0.88628,0.00615314,0.00615314,0.00615314
138,15561.4,0.88189,0.49647,0.87742,0.91626,0.82574,0.9123,0.66438,0.81837,0.42699,0.88634,0.00612486,0.00612486,0.00612486
139,15672,0.8973,0.50438,0.88195,0.92072,0.83671,0.91893,0.66445,0.82001,0.42798,0.88807,0.00609657,0.00609657,0.00609657
140,15784.1,0.88408,0.49812,0.87893,0.90904,0.84312,0.91645,0.66136,0.82502,0.42759,0.88755,0.00606829,0.00606829,0.00606829
141,15904.2,0.88102,0.50056,0.88146,0.91198,0.8319,0.91191,0.66587,0.82499,0.42803,0.88874,0.00604,0.00604,0.00604
142,16017.6,0.87258,0.49279,0.87966,0.90879,0.84236,0.91576,0.66647,0.82521,0.42605,0.88893,0.00601171,0.00601171,0.00601171
143,16130.2,0.89419,0.50437,0.88963,0.90301,0.84667,0.91351,0.66372,0.82646,0.42653,0.88984,0.00598343,0.00598343,0.00598343
144,16241.3,0.8901,0.5075,0.88182,0.90723,0.8436,0.9152,0.66449,0.8319,0.42782,0.89191,0.00595514,0.00595514,0.00595514
145,16351.9,0.88753,0.50478,0.88514,0.9173,0.83322,0.91571,0.6695,0.81645,0.42891,0.88722,0.00592686,0.00592686,0.00592686
146,16463.9,0.88356,0.49771,0.8801,0.91414,0.83436,0.91572,0.66807,0.81527,0.42763,0.88846,0.00589857,0.00589857,0.00589857
147,16581.8,0.8899,0.50409,0.88165,0.90828,0.83536,0.9162,0.66679,0.81548,0.43214,0.88661,0.00587029,0.00587029,0.00587029
148,16695,0.89279,0.50446,0.88082,0.91401,0.83067,0.91286,0.66531,0.81827,0.42944,0.88733,0.005842,0.005842,0.005842
