"场景ID","场景特征","检测性能","模型状态","性能对比","时间"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.852\nmAP50-95:0.563\n召回率:0.891\n小目标AP:0.412","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于Faster R-CNN基线+12.3%","2025-01"
"S002","中等分辨率开阔海域 | C波段 | VV极化 | 小型渔船","mAP50:0.821\nmAP50-95:0.534\n召回率:0.863\n小目标AP:0.445","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于YOLOv8n基线+8.7%","2025-01"
"S003","低分辨率大范围 | L波段 | HH极化 | 大型货轮","mAP50:0.893\nmAP50-95:0.612\n召回率:0.925\n虚警率:3.2%","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于SSD基线+15.1%","2025-01"
"S004","高海况复杂背景 | C波段 | VV+VH | 散斑严重","mAP50:0.764\nmAP50-95:0.478\n召回率:0.802\n虚警率:8.5%","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于YOLOv8n基线+5.2%","2025-01"
"S005","港口区域 | X波段 | HH极化 | 目标密集","mAP50:0.812\nmAP50-95:0.521\n召回率:0.845\n密集目标AP:0.623","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于Faster R-CNN基线+9.8%","2025-01"
"S006","岛屿周边 | C波段 | HH+HV | 背景杂乱","mAP50:0.783\nmAP50-95:0.496\n召回率:0.821\n虚警率:7.2%","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于YOLOv8n基线+6.5%","2025-01"
"S007","近岸浅水区 | X波段 | VV极化 | 小目标","mAP50:0.745\nmAP50-95:0.452\n召回率:0.784\n小目标AP:0.398","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于YOLOv8n基线+4.8%","2025-01"
"S008","远海航线 | L波段 | HH极化 | 多尺度","mAP50:0.876\nmAP50-95:0.598\n召回率:0.912\n多尺度AP:0.687","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于SSD基线+13.6%","2025-01"
"S009","沿海养殖区 | C波段 | VV极化 | 低对比度","mAP50:0.732\nmAP50-95:0.435\n召回率:0.768\n低对比度AP:0.356","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于YOLOv8n基线+3.9%","2025-01"
"S010","海峡航道 | X波段 | HH+VV | 高速运动","mAP50:0.798\nmAP50-95:0.512\n召回率:0.835\n运动目标AP:0.578","MBE-Net v1.0\n推理速度:85FPS\n模型大小:5.2MB","优于Faster R-CNN基线+7.8%","2025-01"
"S001","高分辨率近岸 | X波段 | HH极化 | 密集停靠","mAP50:0.858\nmAP50-95:0.571\n召回率:0.896\n小目标AP:0.425","MBE-Net v1.1\n推理速度:88FPS\n模型大小:5.1MB","优于Faster R-CNN基线+13.1%","2025-02"
